latitude,longitude,Name,Typ
47.05918045,8.29288621,Eingangsbrunnen Friedhof Ost ,FOUNTAIN_TYPE_DRINKING
47.05973728,8.293238449,Talfriedhofbrunnen,FOUNTAIN_TYPE_DRINKING
47.05364386,8.285368703,Wandbrunnen Bernstrasse,FOUNTAIN_TYPE_DRINKING
47.05991681,8.292521888,Friedhofbrunnen,
47.06031724,8.293117371,NoName,
47.04882,8.30392,Stadthausparkbrunnen,FOUNTAIN_TYPE_DRINKING
47.04660691,8.282966305,Trinkbrunnen Reservoir GÃ¼tsch,unbekannt
47.06032091,8.292156808,Friedhofbrunnen,
47.03379923,8.294324338,Privater Brunnenanschluss,unbekannt
47.0544402,8.327193154,Privater Zierbrunnen,unbekannt
47.03310389,8.295791487,Privater Brunnenanschluss,
47.03478957,8.291546608,Privater Brunnenanschluss,
47.06006767,8.29098544,Friedhofbrunnen,
47.03579896,8.289454992,Privater Brunnenanschluss,
47.03429402,8.291811092,Privater Brunnenanschluss,Ziehbrunnen
47.0349239,8.290343654,Privater Brunnenanschluss,
47.06105768,8.291902855,Friedhofbrunnen,
47.06416139,8.305977886,Libellenbrunnen,FOUNTAIN_TYPE_DRINKING
47.0639778,8.310680837,Maihofbrunnen,FOUNTAIN_TYPE_DRINKING
47.06087679,8.291121197,Friedhofbrunnen West,FOUNTAIN_TYPE_DRINKING
47.03253195,8.294659781,Privater Brunnenanschluss,
47.03541,8.3245,Relibrunnen,type_zierbrunnen
47.06464938,8.305300295,Holzbrunnen,FOUNTAIN_TYPE_DRINKING
47.03430943,8.290059132,Privater Brunnenanschluss,
47.0521367,8.280970507,Balz-Camenzind-Brunnen,type_zierbrunnen
47.06313167,8.318497875,Zwyssigplatzbrunnen,FOUNTAIN_TYPE_DRINKING
47.06155825,8.289734879,Krematoriumsbrunnen SÃ¼d,type_zierbrunnen
47.06188187,8.290321219,Krematoriumsbrunnen Ost III,FOUNTAIN_TYPE_DRINKING
47.06150369,8.289487619,Krematoriumsbrunnen SÃ¼d II,FOUNTAIN_TYPE_DRINKING
47.03367616,8.288984897,Privater Brunnenanschluss,
47.06176415,8.289786526,Krematoriumsbrunnen Ost,FOUNTAIN_TYPE_DRINKING
47.0620752,8.290426589,Krematoriumsbrunnen Ost II,FOUNTAIN_TYPE_DRINKING
47.06143277,8.289268984,Krematoriumsbrunnen SÃ¼d,FOUNTAIN_TYPE_DRINKING
47.06148823,8.289063539,Friedhofbrunnen123,
47.06184679,8.289749455,Krematoriumsbrunnen Ost V,FOUNTAIN_TYPE_DRINKING
47.03902439,8.329710127,Privater Brunnenanschluss,
47.06201821,8.290091181,Krematoriumsbrunnen Ost IV,FOUNTAIN_TYPE_DRINKING
47.06166937,8.28895201,Krematoriumsbrunnen West,FOUNTAIN_TYPE_DRINKING
47.03548119,8.285557032,Privater Brunnenanschluss,
47.03533103,8.28462879,Privater Brunnenanschluss,
47.03363708,8.286335306,Privater Brunnenanschluss,
47.06731874,8.312114159,Privater Trinkbrunnen,unbekannt
47.06454917,8.322086202,Gartenheimbrunnen,type_sprudelbrunnen
47.03314844,8.327346365,Gartenhydrant,unbekannt
47.02700951,8.304960738,Schrebergartenbrunnen,FOUNTAIN_TYPE_DRINKING
47.03202413,8.286133053,Privater Brunnenanschluss,
47.06793267,8.31431124,Rotseewaldbrunnen,unbekannt
47.0352893,8.280472252,Privater Brunnenanschluss,
47.03341415,8.282557606,Privater Brunnenanschluss,
47.03361114,8.27934272,Privater Brunnenanschluss,
47.0329967,8.278407034,Privater Brunnenanschluss,
47.06536195,8.282532147,Dorfbrunnen ReussbÃ¼hl,FOUNTAIN_TYPE_DRINKING
47.03432403,8.275383381,Privater Brunnenanschluss,unbekannt
47.03464573,8.274871982,Privater Brunnenanschluss,unbekannt
47.05450906,8.341306828,Runenbrunnen,FOUNTAIN_TYPE_DRINKING
47.0347425,8.270696646,Privater Brunnenanschluss,
47.03155133,8.27257851,Privater Brunnenanschluss,
47.04522309,8.347224457,Salzfassbrunnen,type_zierbrunnen
47.05076087,8.265093418,Spielbrunnen Mattstrasse 13,FOUNTAIN_TYPE_DRINKING
47.03255989,8.269457427,Privater Brunnenanschluss,
47.03186205,8.267854976,Privater Brunnenanschluss,unbekannt
47.05103325,8.25881129,Dorfbrunnen Littau,FOUNTAIN_TYPE_DRINKING
