type,id,lat,lon,amenity,fountain,created_by,wheelchair,flow,architect,description,drinking_water,start_date,wetap:photo,wetap:status,wetap:statusnote,source,image,name,functional,capacity,tap,historic,historic:civilization,disused,tourism,wikidata,wikipedia,name:it,name:ru,indoor,access,disused:amenity,fee,note,bottle,dog,man_made,opening_hours,odbl,ref,addr:postcode,addr:street,highway,construction_date,inscription:it,name:en,noref,alt_name,flickr,fountain:type,name:de,name:es,name:fr,name:zh,survey:date,fixme,drinking_water:type,name:ja,name:sv,addr:city,addr:country,addr:housenumber,wheelchair:description,height,mapillary,operator,designation,level,location,covered,description:de,website,artwork_type,subject:wikidata,drinking_water:legal
node,252441818,41.8941782,12.5038691,drinking_water,nasone,,,constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,252441819,41.8941232,12.5039706,drinking_water,nasone,,,constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,252602350,41.8961224,12.4929031,drinking_water,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,252609581,41.8958602,12.4969575,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,252699691,41.9045357,12.4769332,drinking_water,nasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,252899499,41.8917545,12.5021694,drinking_water,nasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,252899503,41.894222,12.5172566,drinking_water,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253704796,41.8557164,12.4587287,drinking_water,nasone,,,button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253704798,41.8387689,12.4644924,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253704799,41.8660956,12.4789111,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253704800,41.8669876,12.4784597,drinking_water,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253704801,41.8670141,12.4787997,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253704802,41.8835007,12.5030463,drinking_water,nasone,,,,,,,,,,,,,,,,push_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253871563,41.9073697,12.475948,drinking_water,nasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,254523696,41.8685428,12.4901209,drinking_water,nasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,255019798,41.8321325,12.4755917,drinking_water,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,255020313,41.8823541,12.5142192,drinking_water,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,255020314,41.8821058,12.5141333,drinking_water,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,255020316,41.8819791,12.5137977,drinking_water,nasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,255020317,41.8816496,12.5141099,drinking_water,nasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,255020318,41.88137,12.5139571,drinking_water,nasone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
