ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE;Geo Shape;Geo Point
379.0;DVD;10/122;;179 bis Quai de Valmy;75.0;75010;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;179 bis Quai de Valmy;110;14.0;9568;179;B;QU;VALMY;9568-179B;;10.0;40.0;1;"{""type"": ""Point"", ""coordinates"": [2.367454441992882, 48.8802983975623]}";48.8802983976,2.36745444199
714.0;DVD;13/130;;44 Boulevard Vincent Auriol;75.0;75013;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;44 Boulevard Vincent Auriol;113;14.0;9853;44;;BD;VINCENT AURIOL;9853-44;;13.0;49.0;1;"{""type"": ""Point"", ""coordinates"": [2.368901784450899, 48.83504720866531]}";48.8350472087,2.36890178445
727.0;DVD;13/117;;Rue Clisson;75.0;75013;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;Rue Clisson;113;14.0;2122;1;;RUE;CLISSON;2122-1;numnr;13.0;50.0;1;"{""type"": ""Point"", ""coordinates"": [2.365215540290057, 48.82943805254809]}";48.8294380525,2.36521554029
397.0;DVD;10/102;;Place du Colonel Fabien;75.0;75010;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;pl du Colonel Fabien;110;14.0;2207;1;;PL;COLONEL FABIEN;2207-1;numnr;10.0;40.0;1;"{""type"": ""Point"", ""coordinates"": [2.370519714763075, 48.87742109915025]}";48.8774210992,2.37051971476
1270.0;DDEEES;;Marché Crimée-Curial;244 rue de Crimée;75.0;75019;Borne marché;1.0;Non;Non;;;;;;244 rue de Crimee;119;13.0;2443;244;;RUE;CRIMEE;2443-244;;19.0;74.0;0;"{""type"": ""Point"", ""coordinates"": [2.372431965212832, 48.89479460098581]}";48.894794601,2.37243196521
483.0;DVD;11/119;;86 Boulevard Richard Lenoir;75.0;75011;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;86 Boulevard Richard Lenoir;111;14.0;8208;86;;BD;RICHARD LENOIR;8208-86;;11.0;42.0;1;"{""type"": ""Point"", ""coordinates"": [2.372830006876983, 48.86182049938153]}";48.8618204994,2.37283000688
461.0;DVD;11/143;;116 Rue Faubourg du Temple;75.0;75011;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;116 Rue Faubourg du Temple;111;14.0;3508;116;;RUE;FAUBOURG DU TEMPLE;3508-116;;11.0;41.0;1;"{""type"": ""Point"", ""coordinates"": [2.376500360719358, 48.87154808032327]}";48.8715480803,2.37650036072
526.0;DEVE;66;Coursiers;17 rue Hector Malot;75.0;75012;Fontaine ornementale;1.0;;;;;;;;17 rue Hector Malot;112;12.0;4517;17;;RUE;HECTOR MALOT;4517-17;;12.0;48.0;0;"{""type"": ""Point"", ""coordinates"": [2.376690050861161, 48.8471169481277]}";48.8471169481,2.37669005086
411.0;DEVE;;Square Maurice Gardette;8 rue du Général Blaise;75.0;75011;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;8 rue du General Blaise;111;4.0;4019;8;;RUE;GENERAL BLAISE;4019-8;;11.0;42.0;1;"{""type"": ""Point"", ""coordinates"": [2.378777062827789, 48.86161953918242]}";48.8616195392,2.37877706283
551.0;DDEEES;;Marché Aligre;24 rue d'Aligre;75.0;75012;Borne marché;1.0;Non;Non;;;;;;24 rue d Aligre;112;13.0;0200;24;;RUE;ALIGRE;0200-24;;12.0;48.0;0;"{""type"": ""Point"", ""coordinates"": [2.378658758099176, 48.84967693316022]}";48.8496769332,2.3786587581
519.0;DEVE;65;Canal Ouest;1 rue Joseph Kessel;75.0;75012;Fontaine ornementale;1.0;;;;;;;;1 rue Joseph Kessel;112;12.0;5016;1;;RUE;JOSEPH KESSEL;5016-1;;12.0;47.0;0;"{""type"": ""Point"", ""coordinates"": [2.38405431011901, 48.83417982480501]}";48.8341798248,2.38405431012
439.0;DPA;53;Fontaine de la petite Halle;Place du dr A Beclere;75.0;75011;Fontaine ornementale;1.0;Non;Non;;Non;;Non;récupérée de la DEVE avril 2014;pl du dr A Beclere;111;12.0;2814;2;;PL;DOCTEUR ANTOINE BECLERE;2814-2;numnr;12.0;48.0;0;"{""type"": ""Point"", ""coordinates"": [2.383829889218176, 48.850425475656465]}";48.8504254757,2.38382988922
1233.0;DEVE;86-88;La Villette;46 rue d'Hautpoul;75.0;75019;Borne-fontaine;3.0;Non;Non;Non;Non;Non;Oui;;46 rue d Hautpoul;119;4.0;4502;46;;RUE;HAUTPOUL;4502-46;;19.0;75.0;1;"{""type"": ""Point"", ""coordinates"": [2.389343274045549, 48.8848982603605]}";48.8848982604,2.38934327405
585.0;DVD;12/148;;2 Boulevard de Reuilly;75.0;75012;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;2 Boulevard de Reuilly;112;14.0;8174;2;;BD;REUILLY;8174-2;;12.0;46.0;1;"{""type"": ""Point"", ""coordinates"": [2.38949814092614, 48.8388862434144]}";48.8388862434,2.38949814093
1351.0;EDP;95;;13 rue des Mûriers;75.0;75020;Wallace;1.0;Non;;Oui;Non;;;;13 rue des Muriers;120;11.0;6643;13;;RUE;MURIERS;6643-13;;20.0;79.0;1;"{""type"": ""Point"", ""coordinates"": [2.391149978734386, 48.86498181584135]}";48.8649818158,2.39114997873
1286.0;DVD;19/136;;217 Avenue Jean Jaurès;75.0;75019;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;217 Avenue Jean Jaures;119;14.0;4903;217;;AV;JEAN JAURES;4903-217;;19.0;74.0;1;"{""type"": ""Point"", ""coordinates"": [2.393407166413083, 48.889346304075815]}";48.8893463041,2.39340716641
1235.0;DEVE;;Square Eugénie Cotton;9 rue Eugénie Cotton;75.0;75019;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;9 rue Eugenie Cotton;119;4.0;3443;9;;RUE;EUGENIE COTTON;3443-9;;19.0;75.0;1;"{""type"": ""Point"", ""coordinates"": [2.393564921886183, 48.87841720892006]}";48.8784172089,2.39356492189
1376.0;DDEEES;;Marché Télégraphe;51 rue du Télégraphe;75.0;75020;Borne marché;1.0;Non;Non;;;;;;51 rue du Telegraphe;120;13.0;9188;51;;RUE;TELEGRAPHE;9188-51;;20.0;78.0;0;"{""type"": ""Point"", ""coordinates"": [2.399121101772316, 48.87506739053865]}";48.8750673905,2.39912110177
