,X,Y,X_dms,Y-dms,primaryind,nummer,brunnenart,historisch,wasserart_,bezeichnun,qid
114,8.514407273,47.35780457,"E8°30'51.86","N47°21'28.09",115,203,öffentlicher Brunnen,1937,Verteilnetz,Ecke Uetlibergstrasse,Q27230153
115,8.511609389,47.35890163,"E8°30'41.79","N47°21'32.04",116,559,Brunnen in städtischer Liegenschaft,1947,Verteilnetz,Schulpavillon,
116,8.529134119,47.36274535,"E8°31'44.88","N47°21'45.88",117,122,öffentlicher Brunnen,1906,Quellwasser,Anlage bei Kirche Enge,Q27230190
117,8.53568319,47.3594439,"E8°32'8.459","N47°21'33.99",118,126,öffentlicher Brunnen,1909,Verteilnetz,,Q27229890
118,8.535973434,47.3587164,"E8°32'9.504","N47°21'31.37",119,960.2,öffentlicher Brunnen,,Verteilnetz,Seerestaurant,
119,8.536150844,47.35886535,"E8°32'10.14","N47°21'31.91",120,960.1,öffentlicher Brunnen,,Verteilnetz,Seerestaurant,
120,8.528074159,47.35742559,"E8°31'41.06","N47°21'26.73",121,132,öffentlicher Brunnen,1926,Verteilnetz,,Q27229926
121,8.529296413,47.35931861,"E8°31'45.46","N47°21'33.54",122,100,öffentlicher Brunnen,1887,Verteilnetz,,
122,8.530593315,47.35774125,"E8°31'50.13","N47°21'27.86",123,534,Brunnen in städtischer Liegenschaft,,Verteilnetz,Rieterpark,
123,8.529436766,47.36029516,"E8°31'45.97","N47°21'37.06",124,535.1,Brunnen in städtischer Liegenschaft,1887,Verteilnetz,Schulhaus Gabler,
124,8.530819648,47.35777983,"E8°31'50.95","N47°21'28.00",125,1176,Brunnen in städtischer Liegenschaft,1888,Verteilnetz,Rieterpark,
125,8.53190368,47.39572498,"E8°31'54.85","N47°23'44.60",126,460,öffentlicher Brunnen,1936,Verteilnetz,,
126,8.53641316,47.39830525,"E8°32'11.08","N47°23'53.89",127,298,öffentlicher Brunnen,1942,Verteilnetz,,
127,8.536725011,47.3949455,"E8°32'12.21","N47°23'41.80",128,288,öffentlicher Brunnen,1930,Verteilnetz,Schulhaus Milchbuck,Q27229778
128,8.522365568,47.39301218,"E8°31'20.51","N47°23'34.84",129,457,öffentlicher Brunnen,1930,Quellwasser,,Q27230114
129,8.522797992,47.38624063,"E8°31'22.07","N47°23'10.46",130,250,öffentlicher Brunnen,1928,Quellwasser,Josefswiese,Q27229924
130,8.530234504,47.39139345,"E8°31'48.84","N47°23'29.01",131,640.1,Brunnen in städtischer Liegenschaft,1938,Verteilnetz,Turnhalle und hinter Spielwiese,
131,8.530195602,47.39288911,"E8°31'48.70","N47°23'34.40",132,6032,Notwasserbrunnen,1980,Quellwasser,,
